title,text,label
Government launches new education policy,The government has launched a new education policy focusing on skill development and digital learning.,0
Aliens found living among humans,A viral post claims that aliens are secretly living among humans which is completely false.,1
Scientists discover cure for cancer,Researchers have discovered a new treatment that shows promise in curing cancer after years of trials.,0
Drinking salt water cures all diseases,A message spreading online says drinking salt water can cure all diseases which is not scientifically proven.,1
New technology improves battery life,A new technology has been developed that improves battery life in smartphones and electric vehicles.,0
Earth will end tomorrow scientists say,Social media posts claim that scientists say earth will end tomorrow which has no scientific basis.,1
Local farmers benefit from new scheme,Local farmers are happy as a new government scheme helps them with financial support.,0
Miracle pill makes people immortal,A viral video claims a miracle pill can make people immortal which is fake news.,1
Economy shows steady growth this year,The economy has shown steady growth this year according to official government reports.,0
Fake currency notes printed at home,False messages are spreading that fake currency notes can be printed easily at home.,1
